"registrikood";"tegevusala_kood";"tegevusala_nimetus"
"75002426";"85201 ";"Lasteaed-algkoolide tegevus "
"75002353";"91011 ";"Raamatukogude tegevus "
"75002382";"93291 ";"Kultuurikeskused ja rahvamajad "
"75015864";"85313 ";"Gümnaasiumide tegevus "
"75015829";"93291 ";"Kultuurikeskused ja rahvamajad "
"75015870";"85102 ";"Lasteaedade tegevus "
"75015835";"85521 ";"Muusika- ja kunstikoolitus "
"75036145";"85529 ";"Muu huvikoolitus "
"75036151";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75027548";"91011 ";"Raamatukogude tegevus "
"75038842";"93111 ";"Spordirajatiste käitus "
"75015812";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75021511";"91011 ";"Raamatukogude tegevus "
"75023533";"85311 ";"Lasteaed-põhikoolide tegevus "
"75026922";"85312 ";"Põhikoolide tegevus "
"75026916";"85102 ";"Lasteaedade tegevus "
"75026945";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026939";"91011 ";"Raamatukogude tegevus "
"75021480";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75032526";"91021 ";"Muuseumide tegevus "
"75008505";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75002809";"93291 ";"Kultuurikeskused ja rahvamajad "
"70004420";"85312 ";"Põhikoolide tegevus "
"75002790";"85521 ";"Muusika- ja kunstikoolitus "
"75004412";"85201 ";"Lasteaed-algkoolide tegevus "
"75004398";"91011 ";"Raamatukogude tegevus "
"75004435";"87909 ";"Muude mujal liigitamata hoolekandeasutuste tegevus "
"75012535";"85201 ";"Lasteaed-algkoolide tegevus "
"75012564";"91011 ";"Raamatukogude tegevus "
"75004820";"85312 ";"Põhikoolide tegevus "
"75008321";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75037038";"85102 ";"Lasteaedade tegevus "
"75014936";"85521 ";"Muusika- ja kunstikoolitus "
"75006256";"85102 ";"Lasteaedade tegevus "
"75024691";"91011 ";"Raamatukogude tegevus "
"75006233";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75024722";"85312 ";"Põhikoolide tegevus "
"75024745";"85102 ";"Lasteaedade tegevus "
"75004441";"85102 ";"Lasteaedade tegevus "
"75004429";"85312 ";"Põhikoolide tegevus "
"75004381";"91011 ";"Raamatukogude tegevus "
"75024834";"93291 ";"Kultuurikeskused ja rahvamajad "
"75031124";"56211 ";"Toitlustamine üritustel "
"75004346";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75004458";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75003944";"91011 ";"Raamatukogude tegevus "
"75026572";"85201 ";"Lasteaed-algkoolide tegevus "
"75025615";"93291 ";"Kultuurikeskused ja rahvamajad "
"75003447";"85311 ";"Lasteaed-põhikoolide tegevus "
"75003418";"91011 ";"Raamatukogude tegevus "
"75003329";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70004235";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75037854";"91011 ";"Raamatukogude tegevus "
"75024780";"93291 ";"Kultuurikeskused ja rahvamajad "
"75036622";"93111 ";"Spordirajatiste käitus "
"75018816";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014787";"85311 ";"Lasteaed-põhikoolide tegevus "
"75005877";"91011 ";"Raamatukogude tegevus "
"75005860";"93291 ";"Kultuurikeskused ja rahvamajad "
"75007066";"85529 ";"Muu huvikoolitus "
"75010476";"85313 ";"Gümnaasiumide tegevus "
"75010461";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010447";"91011 ";"Raamatukogude tegevus "
"75010424";"85521 ";"Muusika- ja kunstikoolitus "
"75010418";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75003335";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75003387";"85313 ";"Gümnaasiumide tegevus "
"75003341";"91021 ";"Muuseumide tegevus "
"75003370";"85102 ";"Lasteaedade tegevus "
"75003358";"91011 ";"Raamatukogude tegevus "
"75008963";"93111 ";"Spordirajatiste käitus "
"75016384";"93291 ";"Kultuurikeskused ja rahvamajad "
"75039273";"85312 ";"Põhikoolide tegevus "
"75039281";"85102 ";"Lasteaedade tegevus "
"75004688";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004725";"85312 ";"Põhikoolide tegevus "
"75004694";"91011 ";"Raamatukogude tegevus "
"75004671";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75036926";"85529 ";"Muu huvikoolitus "
"75010789";"85529 ";"Muu huvikoolitus "
"75010720";"85102 ";"Lasteaedade tegevus "
"75010737";"85312 ";"Põhikoolide tegevus "
"75010755";"91011 ";"Raamatukogude tegevus "
"75015099";"91011 ";"Raamatukogude tegevus "
"75038865";"85311 ";"Lasteaed-põhikoolide tegevus "
"75004180";"85521 ";"Muusika- ja kunstikoolitus "
"75004197";"91011 ";"Raamatukogude tegevus "
"75005966";"93291 ";"Kultuurikeskused ja rahvamajad "
"75005972";"93111 ";"Spordirajatiste käitus "
"75004174";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038115";"85102 ";"Lasteaedade tegevus "
"75009697";"91011 ";"Raamatukogude tegevus "
"70003566";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75027270";"93291 ";"Kultuurikeskused ja rahvamajad "
"75018822";"85102 ";"Lasteaedade tegevus "
"75018779";"85312 ";"Põhikoolide tegevus "
"75021528";"91011 ";"Raamatukogude tegevus "
"75022522";"91011 ";"Raamatukogude tegevus "
"74000151";"69201 ";"Auditeerimine "
"75014304";"85313 ";"Gümnaasiumide tegevus "
